Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason
9947-OTFQU,Male,65,No,Yes,No,No,0,United States,California,Covina,91722,34.097345,-117.906736,33817,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,Churned,Yes,86,4616,Competitor,Competitor had better devices
9514-JDSKI,Male,77,No,Yes,Yes,No,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,Q3,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,Churned,Yes,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,Male,67,No,Yes,No,No,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,Churned,Yes,96,2314,Price,Long distance charges
3606-TWKGI,Male,68,No,Yes,No,No,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,Churned,Yes,84,2494,Competitor,Competitor had better devices
4385-GZQXV,Female,68,No,Yes,No,No,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,Churned,Yes,81,3810,Competitor,Competitor had better devices
7534-BFESC,Male,69,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,Churned,Yes,91,2018,Competitor,Competitor made better offer
8098-LLAZX,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,Churned,Yes,85,3677,Competitor,Competitor made better offer
0265-EDXBD,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,Churned,Yes,69,4105,Attitude,Attitude of support person
2840-XANRC,Male,77,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,Churned,Yes,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,Female,70,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,Churned,Yes,83,4149,Competitor,Competitor made better offer
5804-LEPIM,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,3,Churned,Yes,73,2671,Other,Don't know
0533-BNWKF,Female,66,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,Churned,Yes,91,5502,Competitor,Competitor made better offer
0334-GDDSO,Male,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,Churned,Yes,73,2818,Competitor,Competitor made better offer
5564-NEMQO,Female,80,No,Yes,No,No,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,Churned,Yes,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,Female,77,No,Yes,No,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,Churned,Yes,89,4099,Dissatisfaction,Limited range of services
5956-VKDTT,Female,72,No,Yes,Yes,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,Churned,Yes,82,5273,Dissatisfaction,Product dissatisfaction
3419-SNJJD,Female,78,No,Yes,Yes,No,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,Churned,Yes,91,4196,Attitude,Attitude of support person
4554-YGZIH,Male,75,No,Yes,Yes,No,0,United States,California,Summerland,93067,34.420998,-119.60137,576,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,Churned,Yes,96,5059,Competitor,Competitor made better offer
5099-BAILX,Male,77,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,Churned,Yes,65,2728,Competitor,Competitor made better offer
4913-EHYUI,Male,80,No,Yes,Yes,No,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1,Churned,Yes,91,6268,Competitor,Competitor offered higher download speeds
4208-UFFGW,Male,80,No,Yes,No,No,0,United States,California,Byron,94514,37.83323,-121.601461,10153,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39,2,Churned,Yes,84,5900,Other,Don't know
1374-DMZUI,Female,65,No,Yes,No,No,0,United States,California,San Ramon,94583,37.766556,-121.976784,44078,Q3,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2,Churned,Yes,91,5419,Competitor,Competitor made better offer
4822-RVYBB,Male,75,No,Yes,No,No,0,United States,California,Berkeley,94704,37.871416,-122.246597,21205,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,Churned,Yes,90,5906,Attitude,Attitude of support person
4184-TJFAN,Female,68,No,Yes,Yes,No,0,United States,California,Berkeley,94707,37.897753,-122.279391,11889,Q3,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,1,Churned,Yes,68,4486,Attitude,Attitude of support person
4145-UQXUQ,Female,71,No,Yes,No,No,0,United States,California,Berkeley,94710,37.872902,-122.303708,8157,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,Churned,Yes,81,5662,Competitor,Competitor had better devices
4086-YQSNZ,Female,74,No,Yes,Yes,No,0,United States,California,Glencoe,95232,38.358464,-120.579304,21,Q3,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92,2,Churned,Yes,89,3834,Attitude,Attitude of service provider
6818-WOBHJ,Female,70,No,Yes,Yes,No,0,United States,California,Fulton,95439,38.493888,-122.777141,476,Q3,Yes,1,68,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.44,1,Churned,Yes,69,5651,Competitor,Competitor had better devices
9134-CEQMF,Male,75,No,Yes,Yes,No,0,United States,California,Nice,95464,39.12334,-122.838198,2223,Q3,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0,95.41,772.11,2,Churned,Yes,89,3077,Dissatisfaction,Network reliability
7206-GZCDC,Female,75,No,Yes,No,No,0,United States,California,Loleta,95551,40.665952,-124.240051,1447,Q3,No,0,1,Offer E,Yes,29.68,No,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,2,Churned,Yes,75,4371,Attitude,Attitude of support person
9809-IMGCQ,Male,65,No,Yes,No,No,0,United States,California,Canyon Dam,95923,40.171312,-121.120605,86,Q3,No,0,22,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,3066.91,1,Churned,Yes,93,4458,Competitor,Competitor made better offer
3254-YRILK,Male,74,No,Yes,No,No,0,United States,California,Dobbins,95935,39.381174,-121.21191,614,Q3,No,0,19,Offer D,Yes,39.97,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,2535.23,1,Churned,Yes,69,5683,Competitor,Competitor had better devices
0529-ONKER,Male,70,No,Yes,No,No,0,United States,California,Forest Ranch,95942,40.077028,-121.494168,1351,Q3,No,0,15,Offer D,Yes,46.38,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1842.35,3,Churned,Yes,96,2099,Attitude,Attitude of support person
2660-EMUBI,Male,71,No,Yes,No,No,0,United States,California,Escondido,92027,33.141265,-116.967221,48690,Q3,No,0,10,Offer D,Yes,41.37,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,0.0,0,413.7,1312.05,1,Churned,Yes,75,5353,Competitor,Competitor made better offer
9391-EOYLI,Male,77,No,Yes,Yes,No,0,United States,California,Lewiston,96052,40.704293,-122.803899,1845,Q3,Yes,1,12,Offer D,Yes,6.97,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0.0,0,83.64,1033.84,2,Churned,Yes,69,5374,Competitor,Competitor made better offer
4154-AQUGT,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201,Q3,Yes,1,13,Offer D,Yes,1.47,No,Yes,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,0.0,0,19.11,1188.4599999999998,1,Churned,Yes,82,3861,Competitor,Competitor made better offer
8017-LXHFA,Female,77,No,Yes,No,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201,Q3,No,0,23,Offer D,Yes,31.17,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2,Churned,Yes,95,2740,Competitor,Competitor made better offer
4248-QPAVC,Female,80,No,Yes,Yes,No,0,United States,California,San Diego,92130,32.957195,-117.202542,28201,Q3,Yes,1,17,Offer D,Yes,36.82,Yes,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0.0,0,625.94,2089.3900000000003,1,Churned,Yes,90,3209,Competitor,Competitor made better offer
5047-LHVLY,Male,68,No,Yes,No,No,0,United States,California,San Diego,92121,32.898613,-117.202937,4258,Q3,No,0,1,Offer E,Yes,39.78,No,Yes,Cable,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0.0,0,39.78,89.93,2,Churned,Yes,91,3438,Competitor,Competitor made better offer
8375-DKEBR,Female,72,No,Yes,No,No,0,United States,California,Hermosa Beach,90254,33.86532,-118.396336,18693,Q3,No,0,1,Offer E,Yes,34.51,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,34.51,104.11,1,Churned,Yes,96,3438,Competitor,Competitor had better devices
8080-DDEMJ,Male,71,No,Yes,No,No,0,United States,California,Glendale,91204,34.136306,-118.26036,17015,Q3,No,0,1,Offer E,Yes,15.28,No,Yes,Cable,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,0.0,0,15.28,60.38,2,Churned,Yes,79,4499,Attitude,Attitude of support person
6702-OHFWR,Male,75,No,Yes,No,No,0,United States,California,Reseda,91335,34.200175,-118.540958,68018,Q3,No,0,1,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0.0,0,0.0,43.3,3,Churned,Yes,91,4972,Other,Poor expertise of online support
4193-ORFCL,Female,80,No,Yes,No,No,0,United States,California,North Hollywood,91606,34.187599,-118.387125,45358,Q3,No,0,1,Offer E,Yes,15.24,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,45.1,0.0,0,15.24,60.34,1,Churned,Yes,70,2740,Competitor,Competitor had better devices
6689-TCZHQ,Female,70,No,Yes,No,No,0,United States,California,Claremont,91711,34.127621,-117.717863,34716,Q3,No,0,5,Offer E,Yes,12.27,No,Yes,Fiber Optic,20,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,378.4,0.0,0,61.349999999999994,439.75,3,Churned,Yes,65,4054,Attitude,Attitude of support person
9497-QCMMS,Male,73,No,Yes,No,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213,Q3,No,0,1,Offer E,Yes,30.17,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55,0.0,0,30.17,123.72,1,Churned,Yes,81,5536,Competitor,Competitor made better offer
8000-REIQB,Female,73,No,Yes,No,No,0,United States,California,San Diego,92117,32.825086,-117.199424,51213,Q3,No,0,1,Offer E,Yes,22.5,No,Yes,Fiber Optic,27,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95,0.0,10,22.5,102.45,2,Churned,Yes,94,3208,Competitor,Competitor made better offer
4795-KTRTH,Female,68,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,5,Offer E,Yes,47.28,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65,40.64,10,236.4,577.41,1,Churned,Yes,91,4287,Competitor,Competitor made better offer
8051-HJRLT,Female,72,No,Yes,No,No,0,United States,California,Wrightwood,92397,34.358321,-117.618263,4253,Q3,No,0,1,Offer E,Yes,18.2,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,0.0,0,18.2,88.75,3,Churned,Yes,82,2146,Attitude,Attitude of service provider
1587-FKLZB,Male,79,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Q3,Yes,1,66,Offer A,Yes,28.86,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.5,6822.15,0.0,0,1904.76,8726.91,1,Churned,Yes,96,4479,Competitor,Competitor had better devices
5440-FLBQG,Male,69,No,Yes,Yes,No,0,United States,California,Santa Barbara,93110,34.437945,-119.77191,15757,Q3,Yes,1,69,Offer A,Yes,48.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,0.0,0,3372.7200000000003,10690.92,3,Churned,Yes,73,4708,Attitude,Attitude of service provider
5130-IEKQT,Male,73,No,Yes,No,No,0,United States,California,San Francisco,94109,37.794487,-122.42227,56330,Q3,No,0,25,Offer C,Yes,46.34,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,105.95,2655.25,0.0,0,1158.5,3813.75,2,Churned,Yes,91,4283,Price,Price too high
3269-ATYWD,Male,79,No,Yes,No,No,0,United States,California,San Francisco,94123,37.800254,-122.436975,22920,Q3,No,0,39,Offer C,Yes,41.93,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.65,3759.05,0.0,150,1635.27,5544.32,1,Churned,Yes,65,4892,Other,Don't know
0354-WYROK,Female,70,No,Yes,Yes,No,0,United States,California,San Francisco,94130,37.820894,-122.369725,1458,Q3,Yes,1,31,Offer C,Yes,47.95,No,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3,0.0,0,1486.45,4397.75,2,Churned,Yes,91,4050,Other,Don't know
3336-JORSO,Female,70,No,Yes,No,No,0,United States,California,Hayward,94542,37.656695,-122.048361,11147,Q3,No,0,33,Offer C,Yes,17.24,Yes,Yes,Fiber Optic,25,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,110.45,3655.45,0.0,70,568.92,4294.37,1,Churned,Yes,80,3401,Dissatisfaction,Product dissatisfaction
8510-AWCXC,Female,69,No,Yes,No,No,0,United States,California,Novato,94945,38.135897,-122.563683,16429,Q3,No,0,13,Offer D,Yes,7.22,Yes,Yes,Fiber Optic,28,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,1308.1,0.0,0,93.86,1401.9599999999998,1,Churned,Yes,65,3269,Attitude,Attitude of support person
8225-BTJAU,Male,75,No,Yes,No,No,0,United States,California,Stinson Beach,94970,37.921137,-122.657562,781,Q3,No,0,10,Offer D,Yes,7.51,No,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.25,793.55,0.0,0,75.1,868.65,1,Churned,Yes,87,3856,Competitor,Competitor had better devices
2408-WITXK,Female,67,No,Yes,No,No,0,United States,California,San Jose,95110,37.34667,-121.910019,18197,Q3,No,0,10,Offer D,No,0.0,No,Yes,DSL,4,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,329.8,0.0,0,0.0,329.8,1,Churned,Yes,92,3244,Other,Deceased
7503-QQRVF,Male,74,No,Yes,Yes,No,0,United States,California,San Jose,95127,37.375156,-121.795867,60620,Q3,Yes,1,16,Offer D,Yes,26.12,No,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.3,1178.25,0.0,0,417.92,1596.17,1,Churned,Yes,81,2076,Competitor,Competitor had better devices
3001-CBHLQ,Male,76,No,Yes,Yes,No,0,United States,California,Angels Camp,95222,38.071327,-120.632221,4264,Q3,Yes,1,32,Offer C,Yes,43.51,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.9,3351.55,33.73,0,1392.32,4710.14,1,Churned,Yes,79,3966,Attitude,Attitude of support person
2454-RPBRZ,Female,67,No,Yes,Yes,No,0,United States,California,Catheys Valley,95306,37.394411,-120.127262,986,Q3,Yes,1,12,Offer D,Yes,30.63,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.1,1060.2,49.06,0,367.56,1378.7,3,Churned,Yes,90,2709,Dissatisfaction,Service dissatisfaction
8802-UNOJF,Male,65,No,Yes,No,No,0,United States,California,Philo,95466,39.094102,-123.500853,1113,Q3,No,0,12,Offer D,Yes,28.63,No,Yes,Cable,7,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,83.8,1029.75,44.58,80,343.56,1408.73,1,Churned,Yes,78,5565,Competitor,Competitor had better devices
